INVOICE NO.,DELIVERY DATE,MARK & NOS,CUSTOMER NAME,TERMS OF PAYMENT,TERMS OF DELIVERY,CARTON NO.,P/O NO.,P/O LINE,CUSTOMER PARTS NO.,KOA ITEM CODE,QTY
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201328STD,31,KOA+RK73H2ATTD 2002F,RK73H2ATTD2002F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201328STD,41,KOA+RK73H2ATTD 2201F,RK73H2ATTD2201F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201328STD,51,KOA+RK73H2ATTD 27R0F,RK73H2ATTD27R0F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201329STD,21,KOA+RK73H2ATTD 3002F,RK73H2ATTD3002F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201329STD,31,KOA+RK73H2ATTD 4701F,RK73H2ATTD4701F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201329STD,51,KOA+RK73H2ATTD 5102F,RK73H2ATTD5102F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3306,1180201330STD,11,KOA+RK73H2ATTD 5101F,RK73H2ATTD5101F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201330STD,21,KOA+RK73H2ATTD 5601F,RK73H2ATTD5601F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3305,1180201330STD,31,KOA+RK73H2BTTD 2001F,RK73H2BTTD2001F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201330STD,41,KOA+RK73H2BTTD 2003F,RK73H2BTTD2003F,20000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3305,1180201330STD,51,KOA+RK73H2BTTD 4701F,RK73H2BTTD4701F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3305,1180201331STD,11,KOA+RK73H2BTTD 5100F,RK73H2BTTD5100F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3305,1180201331STD,21,KOA+RK73H2ETTD 1001F,RK73H2ETTD1001F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3308,1180201377STD,11,KOA+RK73B2ATTD 101J,RK73B2ATTD101J,5000
04958058-W-02,2026/05/27,"WEL-B09
HONG KONG
C/NO:H3310
MADE IN CHINA
N/S:04958058-W-02",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3310,1180200969WKK,41,KOA+RK73H1JTTD 3301F,RK73H1JTTD3301F,5000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180200658KAG,61,KOA+RK73H1ETTP 3302D,RK73H1ETTP3302D,10000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180201021KAG,11,KOA+RK73H1ETTP 2002F,RK73H1ETTP2002F,10000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180201021KAG,21,KOA+RK73Z1ETTP,RK73Z1ETTP,10000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180201143KAG,11,KOA+RK73H2BTTD 5102F,RK73H2BTTD5102F,5000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3307,1180201302KAG,31,KOA+RK73H1JTTD 1000F,RK73H1JTTD1000F,15000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3307,1180201302KAG,41,KOA+RK73H1JTTD 1002F,RK73H1JTTD1002F,5000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3307,1180201367KAG,11,KOA+RK73B1ETTP 101J,RK73B1ETTP101J,10000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3307,1180201367KAG,21,KOA+RK73B1ETTP 101J,RK73B1ETTP101J,10000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180201367KAG,31,KOA+RK73B1JTTD 181J,RK73B1JTTD181J,5000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180200658KAG,141,KOA+RK73H1JTTD 3303D,RK73H1JTTD3303D,5000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180200778KAG,41,KOA+RK73B1JTTD 152J,RK73B1JTTD152J,25000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180200778KAG,61,KOA+RK73B1JTTD 472J,RK73B1JTTD472J,5000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180200778KAG,71,KOA+RK73B2BTTD 101J,RK73B2BTTD101J,10000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180200778KAG,81,KOA+RK73B2BTTD 121J,RK73B2BTTD121J,5000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180200778KAG,91,KOA+RK73H1JTTD 1002F,RK73H1JTTD1002F,5000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180200778KAG,101,KOA+RK73H1JTTD 2202F,RK73H1JTTD2202F,5000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180200778KAG,111,KOA+RK73H1JTTD 4702F,RK73H1JTTD4702F,10000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180200778KAG,121,KOA+RK73H1JTTD 5100F,RK73H1JTTD5100F,5000
04958058-W-03,2026/05/27,"WEL-B22
HONG KONG
C/NO:H3307,H3312
MADE IN CHINA
N/S:04958058-W-03",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3312,1180201006KAG,11,KOA+RK73B2ATTD 1R0J,RK73B2ATTD1R0J,45000
04958058-W-04,2026/05/27,"WEL-B33
HONG KONG
C/NO:H3313
MADE IN CHINA
N/S:04958058-W-04",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3313,1180200831RBC,11,KOA+RK73B2BRTTD 623J,RK73B2BRTTD623J,30000
04958058-W-04,2026/05/27,"WEL-B33
HONG KONG
C/NO:H3313
MADE IN CHINA
N/S:04958058-W-04",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3313,1180201201RBC,11,KOA+RK73B2BRTTD 623J,RK73B2BRTTD623J,20000
